,Dongxiang,POS,ORIGIN,Chinese,English
7343,hasa,Noun,Dongxiang,哈萨克,Kazakh
7344,hasa,Noun,Dongxiang,哈萨克,Kazakh
7345,hasa,Noun,Dongxiang,下颌,Mandible
7346,hashu,Noun,Dongxiang,数目,Quantity
7347,hashu,Noun,Dongxiang,数目,Quantity
7348,hashu,Noun,Dongxiang,数量,Quantity
7349,hashu,Noun,Dongxiang,数量,Quantity
7350,hashu,Noun,Dongxiang,数量,Quantity
7351,hashu,Noun,Dongxiang,范围,Scope
7352,hashu,Noun,Dongxiang,范围,Scope
7353,hashu,Noun,Dongxiang,范围,Scope
7354,hashu,Noun,Dongxiang,限度,Limit
7355,hashu,Noun,Dongxiang,限度,Limit
7356,hashu,Noun,Dongxiang,标准,Standard
7357,hashu,Noun,Dongxiang,标准,Standard
7358,hashu,Noun,Dongxiang,标准,Standard
7359,hashu,Noun,Dongxiang,原因,Reason
7360,hashu,Noun,Dongxiang,原因,Reason
7361,hashu,Noun,Dongxiang,缘故,Reason
7362,hashutu,Adjective,Chinese,有数目的,Countable
7363,hashutu,Adjective,Chinese,限量的,Limited
7364,hashutu,Adjective,Chinese,有准信的,Reliable
7365,hashutu,Adjective,Chinese,有关系的,Related
7366,hashutu,Adjective,Chinese,有关系的,Related
7367,hazhan,Noun,Dongxiang,坏处,Disadvantage
7368,hazhan,Noun,Dongxiang,坏处,Disadvantage
7369,hazhan,Noun,Dongxiang,弊端,Drawback
7370,hazhan,Noun,Dongxiang,弊端,Drawback
7371,hazhan,Noun,Dongxiang,弊端,Drawback
7372,hazhan maokou,Noun,Chinese,坏毛病,Vice
7373,hazhan maokou,Noun,Chinese,坏毛病,Vice
7374,hazhan maokou,Noun,Chinese,坏毛病,Vice
7375,hazhan maokou,Noun,Chinese,坏脾气,Temper
7376,hazhan maokou,Noun,Chinese,坏脾气,Temper
7377,heifan,Noun,Chinese,晚饭,Dinner
7378,heifanchi,Noun,Chinese,吃晚饭的人,Diner
7379,heifanchi,Noun,Chinese,吃晚饭的人,Diner
7380,heifanda,Verb,Chinese,吃晚饭,Dine
7381,heifanda,Verb,Chinese,吃晚饭,Dine
7382,heifanda,Verb,Chinese,用晚餐,Dine
7383,heifanda,Verb,Chinese,用晚餐,Dine
7384,heisui,Noun,Dongxiang,鸡胯子,Drumstick
7385,heisui,Noun,Dongxiang,鸡胯子,Drumstick
7386,heitan,Noun,Chinese,红糖,Brown sugar
7387,heitan,Noun,Chinese,红糖,Brown sugar
7388,heitanchi,Noun,Chinese,喜食红糖者,Sweet-tooth
7389,heiya,Noun,Dongxiang,手心,Palm
7390,heiya,Noun,Dongxiang,手心,Palm
7391,heiya,Numeral,Dongxiang,把,Handle
7392,heiyala,Verb,Dongxiang,"用手抓,用手攥",Grasp
7393,heizirei,Noun,Arabic,圣人,Sage
7394,heizirei,Noun,Arabic,圣人,Sage
7395,hejin,Noun,Arabic,《古兰经》篇章,Surah
7396,hejin,Noun,Arabic,《古兰经》篇章,Surah
7397,hejin,Noun,Arabic,祭奠,Commemoration
7398,hejin,Noun,Arabic,祭奠,Commemoration
7399,hejin dawagva,Verb,Arabic,举行祭奠,Commemorate
7400,hejin onshi,Verb,Arabic,念古兰经篇章,Recite-Quran
7401,hejin onshi,Verb,Arabic,念古兰经篇章,Recite-Quran
7402,hejin onshi,Verb,Arabic,举行祭奠,Commemorate
7403,helife,Noun,Arabic,哈里发,Caliph
7404,helife,Noun,Arabic,哈里发,Caliph
7405,helife,Noun,Arabic,哈里发,Caliph
7406,hepao,Noun,Chinese,灰泡,Ash-foam
7407,hepao shira,Verb,Chinese,烧灰泡,Incinerate
7408,heqi,Noun,Arabic,从事寺务者,Templeman
7409,heqi,Noun,Arabic,从事寺务者,Templeman
7410,heriba,Adjective,Dongxiang,高大而壮实,Stalwart
7411,heriba,Adjective,Dongxiang,高大而壮实,Stalwart
7412,heriba,Adjective,Dongxiang,肥壮的,Plump
7413,hexien dayi,Verb,Chinese,打呵欠,Yawn
7414,hhachi,Noun,Dongxiang,侄,Nephew
7415,hhachi,Noun,Dongxiang,侄,Nephew
7416,hhachi bierei,Noun,Dongxiang,侄媳,Niece-in-law
7417,hhachi bierei,Noun,Dongxiang,侄媳,Niece-in-law
7418,hhachi bierei,Noun,Dongxiang,侄媳,Niece-in-law
7419,hhachi kewon,Noun,Dongxiang,侄子,Nephew
7420,hhachi kewon,Noun,Dongxiang,侄子,Nephew
7421,hhachi oqin,Noun,Dongxiang,侄女,Niece
7422,hhachi oqin,Noun,Dongxiang,侄女,Niece
7423,hhachi oqin,Noun,Dongxiang,侄女,Niece
7424,hhada,Verb,Dongxiang,喘气,Pant
7425,hhada,Verb,Dongxiang,哈气,Exhale
7426,hhagige,Noun,Arabic,真诚,Sincerity
7427,hhagige,Noun,Arabic,真诚,Sincerity
7428,hhagige,Noun,Arabic,真实,Reality
7429,hhagige,Noun,Arabic,真实,Reality
7430,hhagige,Noun,Arabic,真理,Truth
7431,hhagige,Noun,Arabic,真理,Truth
7432,hhagigi,Adjective,Arabic,诚心的,Sincere
7433,hhagigi,Adjective,Arabic,真诚的,Sincere
7434,hhagvagun,Noun,Dongxiang,民间体育项目,Folk-sport
7435,hhagvagun,Noun,Dongxiang,民间体育项目,Folk-sport
7436,hhagvagun,Noun,Dongxiang,民间体育项目,Folk-sport
7437,hhagvagunda,Verb,Dongxiang,进行民间体育项目,Participate
7438,hhajiachi,Noun,Arabic,爱占小便宜的人,Cheapskate
7439,hhajiachi,Noun,Arabic,爱占小便宜的人,Cheapskate
7440,hhajiachi,Noun,Arabic,爱占小便宜的人,Cheapskate
7441,hhajisi,Noun,Arabic,圣人的言论,Aphorism
7442,hhajisi,Noun,Arabic,圣人的言论,Aphorism
7443,hhajiya,Noun,Arabic,礼物,Gift
7444,hhajiya,Noun,Arabic,礼物,Gift
7445,hhajiya,Noun,Arabic,赠品,Gift
7446,hhajiya,Noun,Arabic,赠品,Gift
7447,hhajiya,Noun,Arabic,馈赠,Gift
7448,hhajiya barei,Verb,Arabic,带舍散的钱,Squander
7449,hhajiya barei,Verb,Arabic,带舍散的钱,Squander
7450,hhajiya barei,Verb,Arabic,获得舍散的钱,Fundraise
7451,hhajiya barei,Verb,Arabic,获得舍散的钱,Fundraise
7452,hhajiya khigva,Verb,Arabic,出舍散的钱,Splurge
7453,hhajiya tugie,Verb,Arabic,舍散钱,Splurge
7454,hhajiya tugie,Verb,Arabic,舍散钱,Splurge
7455,hhajiyachi,Noun,Arabic,受舍散的人,Altruist
7456,hhajiyachi,Noun,Arabic,受舍散的人,Altruist
7457,hhajiyachi,Noun,Arabic,受舍散的人,Altruist
7458,hhakaye,Noun,Arabic,故事,Story
7459,hhakaye,Noun,Arabic,故事,Story
7460,hhakaye,Noun,Arabic,故事,Story
7461,hhakaye,Noun,Arabic,传闻,Rumor
7462,hhakaye,Noun,Arabic,传闻,Rumor
7463,hhakaye,Noun,Arabic,传说,Legend
7464,hhakaye,Noun,Arabic,传说,Legend
7465,hhalai,Noun,Dongxiang,姿势,Pose
7466,hhalai,Noun,Dongxiang,姿势,Pose
7467,hhalai,Noun,Dongxiang,姿势,Pose
7468,hhalai,Noun,Dongxiang,气势,Momentum
7469,hhalai,Noun,Dongxiang,气势,Momentum
7470,hhalai,Noun,Dongxiang,气势,Momentum
7471,hhalai,Noun,Dongxiang,傲气,Arrogance
7472,hhalai,Noun,Dongxiang,傲气,Arrogance
7473,hhalai fugie,Adjective,Dongxiang,傲气十足,Arrogant
7474,hhalai fugie,Adjective,Dongxiang,姿态傲慢,Haughty
7475,hhalai fugie,Adjective,Dongxiang,姿态傲慢,Haughty
7476,hhalai shuayi,Adjective,Dongxiang,傲慢,Arrogant
7477,hhalai shuayi,Adjective,Dongxiang,傲慢,Arrogant
7478,hhalai shuayi,Adjective,Dongxiang,摆阔,Showy
7479,hhalei,Noun,Dongxiang,宴席曲,BanquetSong
7480,hhalei,Noun,Dongxiang,宴席曲,BanquetSong
7481,hhalei daola,Verb,Dongxiang,唱宴席曲,Serenade
7482,hhaleichi,Noun,Dongxiang,唱宴席曲的歌手,Crooner
7483,hhaleichi,Noun,Dongxiang,唱宴席曲的歌手,Crooner
7484,hhali,Noun,Arabic,能力,Ability
7485,hhali,Noun,Arabic,能力,Ability
7486,hhali,Noun,Arabic,本领,Capability
7487,hhali,Noun,Arabic,本领,Capability
7488,hhali,Noun,Arabic,本领,Capability
7489,hhali xienji,Verb,"Arabic, Chinese",显示能力,Demonstrate
7490,hhali xienji,Verb,"Arabic, Chinese",显示本领,Showcase
7491,hhaliali,Noun,Arabic,符合教法的,Orthodox
7492,hhaliali,Noun,Arabic,妻子,Wife
7493,hhaliali,Noun,Arabic,妻子,Wife
7494,hhaliali,Noun,Arabic,妻子,Wife
7495,hhalide kuru,Verb,Arabic,有能力,Capable
7496,hhalide kuru,Verb,Arabic,力所能及,Manageable
7497,hhalide kuru,Verb,Arabic,能力达到,Achieve
7498,hhalitu,Adjective,Arabic,有能力的,Capable
7499,hhalitu,Adjective,Arabic,有本领的,Capable
7500,hhamura,Verb,Dongxiang,休息,Rest
7501,hhamuraku udu,Noun,Dongxiang,休息日,Day-off
7502,hhamuraku udu,Noun,Dongxiang,休息日,Day-off
7503,hhamuraku udu,Noun,Dongxiang,休息日,Day-off
7504,hhamusa,Noun,Dongxiang,盘子,Plate
7505,hhamusa,Noun,Dongxiang,盘子,Plate
7506,hhamusa donji,Verb,Chinese,端盘子,Serve
7507,hhamusa doyi,Verb,Chinese,端盘子,Serve
7508,hhamusachi,Noun,Dongxiang,卖盘子的人,Dish-seller
7509,hhamusachi,Noun,Dongxiang,卖盘子的人,Dish-seller
7510,hhamusachi,Noun,Dongxiang,专门端盘子的人,Waiter
7511,hhamusachi,Noun,Dongxiang,专门端盘子的人,Waiter
7512,hhangha,Noun,Dongxiang,手掌,Palm
7513,hhangha,Noun,Dongxiang,手掌,Palm
7514,hhangha,Noun,Dongxiang,手掌,Palm
7515,hhanghachi,Noun,Dongxiang,该打的,Punishable
7516,hhanghachi,Noun,Dongxiang,该挨揍的,Scoundrel
7517,hhanghachi,Noun,Dongxiang,该挨揍的,Scoundrel
7518,hhanghada,Verb,Dongxiang,用手掌拍打,Slap
7519,hhanghada,Verb,Dongxiang,扇巴掌,Slap
7520,hhanghada,Verb,Dongxiang,扇巴掌,Slap
7521,hhanghada,Verb,Dongxiang,给一巴掌,Slap
7522,hhanghada,Verb,Dongxiang,给一巴掌,Slap
7523,hhanghei,Noun,Arabic,真实,Reality
7524,hhanghei,Noun,Arabic,真实,Reality
7525,hhanghei,Noun,Arabic,真理,Truth
7526,hhanghei,Noun,Arabic,真理,Truth
7527,hhanghei,Noun,Arabic,真主,Allah
7528,hhanghei,Noun,Arabic,真主,Allah
7529,hhangva,Noun,Dongxiang,粪,Feces
7530,hhangva,Noun,Dongxiang,肥料,Fertilizer
7531,hhangva,Noun,Dongxiang,肥料,Fertilizer
7532,hhangva achi,Verb,Dongxiang,驮粪,Manure-hauling
7533,hhangva daru,Verb,Dongxiang,积粪,Accumulate
7534,hhangva daru,Verb,Dongxiang,积肥,Fertilize
7535,hhangva ghura,Verb,Dongxiang,积粪,Accumulate
7536,hhangva ghura,Verb,Dongxiang,积肥,Fertilize
7537,hhangva khireigva,Verb,Dongxiang,上厕所,Defecate
7538,hhangva qiangu,Verb,Dongxiang,拾粪,Scavenge
7539,hhangva qiangu,Verb,Dongxiang,捡粪,Scavenge
7540,hhangva shanji,Verb,Dongxiang,施肥,Fertilize
7541,hhangva shizhi,Verb,Dongxiang,撒粪,Fertilize
7542,hhangva zho,Verb,Dongxiang,上粪,Fertilize
7543,hhangva zho,Verb,Dongxiang,施肥,Fertilize
7544,hhangvachi,Noun,Dongxiang,拾粪人,Scavenger
7545,hhangvachi,Noun,Dongxiang,拾粪人,Scavenger
7546,hhangvachi,Noun,Dongxiang,掏大粪的人,Scavenger
7547,hhangvachi,Noun,Dongxiang,掏大粪的人,Scavenger
7548,hhangvachi,Noun,Dongxiang,掏大粪的人,Scavenger
7549,hhangvala,Verb,Dongxiang,拉屎,Defecate
7550,hhangvala,Verb,Dongxiang,拉屎,Defecate
7551,hhanku,Noun,Dongxiang,步,Step
7552,hhanku,Noun,Dongxiang,步子,Step
7553,hhanku,Noun,Dongxiang,步子,Step
7554,hhanku,Numeral,Dongxiang,步数,Steps
7555,hhanku,Verb,Dongxiang,迈步,Stride
7556,hhanku,Verb,Dongxiang,跨过,Cross
7557,hhanku agi,Verb,Dongxiang,迈步,Stride
7558,hhanku agi,Verb,Dongxiang,走开,Scram
7559,hhanku agi,Verb,Dongxiang,离开,Leave
7560,hhanku agi,Verb,Dongxiang,脱身,Escape
7561,hhanku anda,Verb,Dongxiang,开始学步,Toddling
7562,hhanku arunzha,Verb,Dongxiang,迈步,Stride
7563,hhankula,Verb,Dongxiang,迈步走,Stride
7564,hhankula,Verb,Dongxiang,用步量,Pace
7565,hhantu,Adverb,Dongxiang,一同,Together
7566,hhantu,Adverb,Dongxiang,一块,Together
7567,hhantu,Adverb,Dongxiang,一起,Together
7568,hhantu,Noun,Dongxiang,巷道,Alleyway
7580,hhantula,Verb,Dongxiang,集合,Gather
7581,hhantula,Verb,Dongxiang,集合,Gather
7582,hhantula,Verb,Dongxiang,凑一块,Gather
7583,hhantula,Verb,Dongxiang,团结,Unite
7584,hhantula,Verb,Dongxiang,和好,Reconcile
7585,hhantulagva,Verb,Dongxiang,备齐,Prepare
7586,hhantulagva,Verb,Dongxiang,合并,Merge
7587,hhantulagva,Verb,Dongxiang,集中,Concentrate
7588,hhantulagva,Verb,Dongxiang,说和,Negotiate
7589,hhantulagva,Verb,Dongxiang,筹措,Raise
7590,hhantulagva,Verb,Dongxiang,弄齐,Align
7591,hhanzhi,Noun,Arabic,朝觐者,Pilgrim
7592,hhanzhi,Noun,Arabic,朝觐者,Pilgrim
7593,hhanzhi chaoyi,Verb,"Arabic, Chinese",朝觐,Pilgrimage
7594,hhanzhi magvala,Noun,Arabic,朝觐者带回的帽子,Pilgrim's Hat
7595,hhanzhi magvala,Noun,Arabic,朝觐者带回的帽子,Pilgrim's Hat
7596,hhanzhi magvala,Noun,Arabic,朝觐者带回的帽子,Pilgrim's Hat
7597,hhanzhide echi,Verb,Arabic,朝觐,Pilgrimage
7598,hhanzhide echi,Verb,Arabic,去朝圣,Pilgrimage
7599,hharamu,Noun,Arabic,"禁止的,非法的,不合教法的",Prohibited
7600,hharamu,Noun,Arabic,"禁止的,非法的,不合教法的",Prohibited
7601,hharan,Numeral,Dongxiang,十,Ten
7602,hharan,Numeral,Dongxiang,十个,Ten
7603,hharan,Noun,Arabic,麦加禁寺,Kaaba
7604,hharan,Noun,Arabic,麦加禁寺,Kaaba
7606,hharan nasun,Noun,Dongxiang,十岁,Ten
7607,hharan nasun,Noun,Dongxiang,十岁,Ten
7608,hharan nasuntu,Adjective,Dongxiang,十岁的,Ten-year-old
7609,hharani,Adverb,Dongxiang,惊愕的,Astonishingly
7610,hharani,Adverb,Dongxiang,出人意料的,Unexpectedly
7611,hharani olugva,Verb,Dongxiang,令人惊愕,Astonish
7612,hharani olugva,Verb,Dongxiang,令人惊愕,Astonish
7613,hharani olugva,Verb,Dongxiang,出人意料,Surprise
7614,hharani olugva,Verb,Dongxiang,令人傻眼,Dumbfound
7615,hharani olugva,Verb,Dongxiang,令人傻眼,Dumbfound
7616,hharanzhe,Numeral,Dongxiang,初十左右,Tenth-ish
7617,hharanzhe,Numeral,Dongxiang,初十左右,Tenth-ish
7618,hharazan,Noun,Dongxiang,普通人,Commoner
7619,hharazan,Noun,Dongxiang,普通人,Commoner
7620,hharazan,Noun,Dongxiang,平庸之辈,Mediocrity
7621,hharazan,Noun,Dongxiang,平庸之辈,Mediocrity
7622,hharazan,Noun,Dongxiang,无能之辈,Incompetent
7623,hharazan,Noun,Dongxiang,无能之辈,Incompetent
7624,hhareifa,Numeral,Dongxiang,十次,Tenfold
7625,hhareifa,Numeral,Dongxiang,十次,Tenfold
7626,hhareilan,Numeral,Dongxiang,十个左右,Around ten
7627,hhareilan,Numeral,Dongxiang,十个左右,Around ten
7628,hharudu,Noun,Dongxiang,十天,Decade
7629,hharudu,Noun,Dongxiang,十天,Decade
7630,hharudulan,Noun,Dongxiang,十天左右,Fortnight
7631,hharudulan,Noun,Dongxiang,十天左右,Fortnight
7632,hharulie,Numeral,Dongxiang,十个一起,Decuple
7633,hharulie,Numeral,Dongxiang,十个人,Ten
7634,hharulie,Numeral,Dongxiang,十个人,Ten
7635,hhased,Noun,Arabic,冤仇,Feud
7636,hhased,Noun,Arabic,冤仇,Feud
7637,hhased,Noun,Arabic,仇恨,Hatred
7638,hhased,Noun,Arabic,仇恨,Hatred
7639,hhased,Noun,Arabic,怨气,Resentment
7640,hhased,Noun,Arabic,怨气,Resentment
7641,hhased gie,Verb,Arabic,嫉恨,Envy
7642,hhased gie,Verb,Arabic,嫉恨,Envy
7643,hhased gie,Verb,Arabic,怨恨,Resent
7644,hhe,Pronoun,Dongxiang,他,He
7645,hhe,Pronoun,Dongxiang,他,He
7646,hhe,Pronoun,Dongxiang,她,She
7647,hhe,Pronoun,Dongxiang,她,She
7648,hhe,Pronoun,Dongxiang,那,That
7649,hhe,Pronoun,Dongxiang,那,That
7650,hhe,Pronoun,Dongxiang,那,That
7651,hhe,Pronoun,Dongxiang,那个,That
7652,hhe,Pronoun,Dongxiang,那个,That
7653,hhe,Pronoun,Dongxiang,那个,That
7656,hhe ghuala,Pronoun,Dongxiang,他们俩,Both
7657,hhe ghuala,Pronoun,Dongxiang,他们俩,Both
7658,hhe shijie,Noun,Chinese,那时候,Backthen
7659,hhe shijie,Noun,Chinese,那时候,Backthen
7660,hhe turu,Pronoun,Dongxiang,那里,There
7661,hhe turu,Pronoun,Dongxiang,那里,There
7664,hhe zhagvade,Adverb,Dongxiang,那时候,Then
7665,hhebegvei,Noun,Dongxiang,蝴蝶,Butterfly
7666,hhebegvei,Noun,Dongxiang,蝴蝶,Butterfly
7667,hheche,Verb,Dongxiang,累,Tire
7668,hheche,Verb,Dongxiang,累,Tire
7669,hheche,Verb,Dongxiang,乏,Lack
7670,hheche,Verb,Dongxiang,疲劳,Fatigue
7671,hheche,Verb,Dongxiang,疲劳,Fatigue
7672,hhechegvu,Noun,Dongxiang,没劲的人,Lackluster
7673,hhechegvu,Noun,Dongxiang,没劲的人,Lackluster
7674,hhechegvu,Noun,Dongxiang,没劲的人,Lackluster
7675,hhechegvu,Noun,Dongxiang,容易疲劳的人,Fatigable
7676,hhechegvu,Noun,Dongxiang,容易疲劳的人,Fatigable
7677,hhechengi,Adjective,Dongxiang,无能的,Incompetent
7678,hhechengi,Noun,Dongxiang,无能的人,Incompetent
7679,hhechengi,Noun,Dongxiang,无能的人,Incompetent
7680,hhechengi,Noun,Dongxiang,无能的人,Incompetent
7681,hhegvense,Adverb,Dongxiang,从那时起,Since
7682,hhegvense,Adverb,Dongxiang,自那以后,Since
7683,hhehhejie,Verb,Dongxiang,倒吸冷气,Gasp
7684,hhehhejie,Verb,Dongxiang,哭得哽咽,Sobbing
7685,hhela,Pronoun,Dongxiang,他们,They
7686,hhela,Pronoun,Dongxiang,他们,They
7687,hhelagvun,Pronoun,Dongxiang,他们的,Their
7688,hhelie,Noun,Dongxiang,苍鹰,Eagle
7689,hhelie,Noun,Dongxiang,苍鹰,Eagle
7690,hhelie,Noun,Dongxiang,苍鹰,Eagle
7691,hhelie,Verb,Dongxiang,漂浮,Float
7692,hhelie barei,Verb,Dongxiang,抓鹰,Falconry
7693,hhelie barei,Verb,Dongxiang,闲逛,Stroll
7694,hhelie barei,Verb,Dongxiang,不务正业,Shirk
7695,hhelie khuinadu sazhigvei,Adjective,Dongxiang,鹰后面的喜鹊,Untranslatable
7696,hhelie khuinadu sazhigvei,Adjective,Dongxiang,跟在别人后面追随的人,Follower
7697,hhelie khuinadu sazhigvei,Adjective,Dongxiang,为别人摇旗呐喊的人,Cheerleader
7702,hhendaizi,Noun,Dongxiang,杏核油,ApricotOil
7703,hhendaizi,Noun,Dongxiang,苦核树,Hickory
7704,hhendaizi,Noun,Dongxiang,苦核树,Hickory
7705,hhendaizi,Noun,Dongxiang,苦核树,Hickory
7708,hhende,Pronoun,Dongxiang,对他,Him
7709,hhendeni,Adverb,Dongxiang,那会儿,Then
7710,hhendeni,Adverb,Dongxiang,那时候,Then
7711,hhendeni,Adverb,Dongxiang,前些时候,Previously
7712,hhengerei,Verb,Dongxiang,跌倒,Fall
7713,hhengerei,Verb,Dongxiang,滚落,Tumble
7714,hhengerei bujireiji,Adverb,Dongxiang,跌跌撞撞地,Clumsily
7715,hhenugvun,Pronoun,Dongxiang,他的,His
7716,hherei,Adjective,Dongxiang,热的,Hot
7717,hherei,Adjective,Dongxiang,热的,Hot
7718,hherei,Adjective,Dongxiang,烫的,Hot
7719,hherei,Adjective,Dongxiang,烫的,Hot
7720,hherei,Adjective,Dongxiang,专心,Focused
7721,hherei,Adjective,Dongxiang,专心,Focused
7722,hherei,Adjective,Dongxiang,热衷,Passionate
7723,hherei,Adjective,Dongxiang,热衷,Passionate
7724,hherei,Adjective,Dongxiang,迷恋,Infatuated
7725,hherei,Adjective,Dongxiang,迷恋,Infatuated
7726,hherei,Verb,Dongxiang,变热,Heat-up
7727,hherei,Verb,Dongxiang,变烫热心,Enthusiast
7728,hhereigva,Verb,Dongxiang,弄热,Heat
7729,hhereigva,Verb,Dongxiang,热一下,Reheat
7730,hhereigva,Verb,Dongxiang,扇耳光,Slap
7731,hhereigva,Verb,Dongxiang,扇耳光,Slap
7732,hhereigva,Verb,Dongxiang,打耳光,Slap
7733,hhereigva,Verb,Dongxiang,打耳光,Slap
7734,hhereisa,Verb,Dongxiang,嫌热,Overheat
7735,hhereisa,Verb,Dongxiang,嫌热,Overheat
7736,hhergvei,Noun,Dongxiang,榆树,Elm
7737,hhergvei,Noun,Dongxiang,榆树,Elm
7738,hhergvei,Noun,Dongxiang,榆树,Elm
7739,hhergvei,Noun,Dongxiang,投石器,Catapult
7740,hhergvei,Noun,Dongxiang,投石器,Catapult
7741,hhergvulu,Verb,Dongxiang,摇来摆去,Wobble
7742,hhergvulu,Verb,Dongxiang,扭来扭曲,Twist
7743,hhergvulu,Verb,Dongxiang,甩屁股,Wiggle
7744,hhergvulu,Verb,Dongxiang,挥霍,Squander
7745,hhergvulu,Verb,Dongxiang,挥霍,Squander
7746,hhergvulu,Verb,Dongxiang,胡乱开支,Squander
7747,hherkmet,Noun,Arabic,智慧,Wisdom
7748,hherkmet,Noun,Arabic,智慧,Wisdom
7749,hherkmet,Noun,Arabic,聪明,Intelligence
7750,hhersun,Noun,Dongxiang,坏蛋,Rascal
7751,hhersun,Noun,Dongxiang,坏蛋,Rascal
7752,hhersun,Noun,Dongxiang,招人讨厌的人,Annoyer
7753,hhersun,Noun,Dongxiang,招人讨厌的人,Annoyer
7754,hherwa,Noun,Arabic,动物,Animal
7755,hherwa,Noun,Arabic,动物,Animal
7756,hherwa,Noun,Arabic,畜牲,Livestock
7757,hherwa,Noun,Arabic,畜牲,Livestock
7758,hherwa ghoron,Noun,Dongxiang,动物园,Zoo
7759,hherwa ghoron,Noun,Dongxiang,动物园,Zoo
7761,hherwashi,Verb,Dongxiang,变得粗野,Coarsen
7762,hherwashi,Verb,Dongxiang,兽性大发,Unleash
7763,hhesila,Pronoun,Dongxiang,他们,They
7764,hhesila,Pronoun,Dongxiang,他们,They
7765,hhesila,Pronoun,Dongxiang,她们,They
7766,hhesila,Pronoun,Dongxiang,她们,They
7767,hhezegven,Pronoun,Dongxiang,那些,Those
7768,hhezegven,Pronoun,Dongxiang,那些,Those
7769,hhezegven,Pronoun,Dongxiang,那些,Those
7772,hhoronghei,Noun,Dongxiang,蔓草,Creeper
7773,hhoronghei,Noun,Dongxiang,蔓草,Creeper
7774,hhoronghei,Noun,Dongxiang,蔓草,Creeper
7775,hhume,Noun,Dongxiang,筋,Tendon
7776,hhume,Noun,Dongxiang,筋,Tendon
7777,hhume,Noun,Dongxiang,筋,Tendon
7778,hhume,Noun,Dongxiang,脉搏,Pulse
7779,hhume,Noun,Dongxiang,脉搏,Pulse
7780,hhume,Noun,Dongxiang,脉冲,Pulse
7781,hhume khirei,Verb,Dongxiang,脉搏跳到手腕指人死亡,Pulseless
7782,hhunghu,Verb,Dongxiang,放屁,Fart
7783,hhunghusuchi,Noun,Dongxiang,老放屁的人,Flatulent
7784,hhunghusuchi,Noun,Dongxiang,老放屁的人,Flatulent
7785,hhunghusun,Noun,Dongxiang,屁,Fart
7786,hhunghusun anda,Verb,Dongxiang,放屁,Fart
7787,hhunghusun china,Verb,Dongxiang,胡说,Nonsense
7788,hhunghusun china,Verb,Dongxiang,含糊其词,Equivocate
7789,hhunghusun china,Verb,Dongxiang,胡说一气,Rant
7790,hhunghusun tai,Verb,Dongxiang,放屁,Fart
7791,hhumghusunghala nogvei,Verb,Dongxiang,哄骗,Deceive
7792,hhumghusunghala nogvei,Verb,Dongxiang,哄骗,Deceive
7793,hhumghusunghala nogvei,Verb,Dongxiang,空许愿,Wishcast
7794,hhuntura,Verb,Dongxiang,睡着,Sleeping
7795,hhunturagva,Verb,Dongxiang,哄小孩入睡,Lullabying
7796,hhunturagva,Verb,Dongxiang,哄小孩入睡,Lullabying
7797,hhunturagva,Verb,Dongxiang,使人入睡,Sedate
7798,hhunturagva,Verb,Dongxiang,使人入睡,Sedate
7799,hhunturagva,Verb,Dongxiang,不念忏悔词,Unrepentant
7800,hin,Adjective,Dongxiang,厉害,Impressive
7801,hin,Adjective,Dongxiang,厉害,Impressive
7802,hin,Adjective,Dongxiang,有本事,Capable
7803,hin,Adjective,Dongxiang,有本事,Capable
7804,hin,Adjective,Dongxiang,成长,Growth
7805,hin,Adjective,Dongxiang,成长,Growth
7806,hin kun,Noun,Dongxiang,有本事的人,Competent
7807,hin kun,Noun,Dongxiang,有本事的人,Competent
7808,hin kun,Noun,Dongxiang,有本事的人,Competent
7809,hin kun,Noun,Dongxiang,厉害的人,Ace
7810,hin kun,Noun,Dongxiang,厉害的人,Ace
7811,hin kun,Noun,Dongxiang,厉害的人,Ace
7812,hinda,Verb,Dongxiang,成长起来,Mature
7813,hinda,Verb,Dongxiang,耍威风,Showboat
7814,hinda,Verb,Dongxiang,逞威,Show off
7815,hinda,Verb,Dongxiang,欺负,Bully
7816,hinda,Verb,Dongxiang,欺负,Bully
7817,hinda,Verb,Dongxiang,变得有本事,Empower
7818,hinda,Verb,Dongxiang,变强,Strengthen
7819,hinde,Adverb,Dongxiang,坚决地,Resolutely
7820,hinde,Adverb,Dongxiang,费功夫地,Laboriously
7821,hinde,Adverb,Dongxiang,非常大,Tremendously
7822,hinhin,Noun,Dongxiang,猫头鹰,Owl
7823,hinhin,Noun,Dongxiang,猫头鹰,Owl
7824,hinhin,Noun,Dongxiang,猫头鹰,Owl
7825,hinji,Verb,Dongxiang,瞪,Stare
7826,hinji,Verb,Dongxiang,直视,Stare
7827,hinsa,Verb,Dongxiang,呈威,Intimidate
7828,hinsa,Verb,Dongxiang,耍,Play
7829,hinzirei,Noun,Arabic,猪,Pig
7830,hinzirei,Noun,Arabic,猪,Pig
7831,ho,Noun,Dongxiang,气,Air
7832,ho,Noun,Dongxiang,气,Air
7833,ho,Noun,Dongxiang,蒸气,Vapor
7834,ho,Noun,Dongxiang,蒸气,Vapor
7835,ho,Noun,Dongxiang,脾气,Temper
7836,ho,Noun,Dongxiang,脾气,Temper
7837,ho,Noun,Dongxiang,怨气,Resentment
7838,ho,Noun,Dongxiang,怨气,Resentment
7839,ho,Noun,Dongxiang,怒气,Anger
7840,ho,Noun,Dongxiang,怒气,Anger
